"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
650,0.4,0.125,-0.482977379447118,0.165756769223535,-0.801331950081803,-0.266305606208112,-0.210392133333965,-0.155305778154392,6
750,0.4,0.125,-0.423379398000385,0.156015291737517,-0.736967312245406,-0.22440943020591,-0.165410017960368,-0.115969881608896,6
350,0.4,0.15,-0.680787814358576,0.245235002781215,-1.15593463358262,-0.370177290104893,-0.288878687570663,-0.205673407551243,6
450,0.4,0.15,-1.03127720019529,0.217989421626651,-1.46255733116871,-0.747899074366571,-0.673093500820696,-0.602741517051748,6
550,0.4,0.15,-1.0285071638627,0.187821869419251,-1.40464784953328,-0.78894457478052,-0.719733336130855,-0.658869272145166,6
650,0.4,0.15,-0.981747121941725,0.169947728471072,-1.31757204645867,-0.765037817258587,-0.705320545251129,-0.654487716868766,6
750,0.4,0.15,-0.798452532704076,0.167253510712217,-1.13075244661703,-0.587767704930931,-0.521100737839098,-0.465249023134999,6
350,0.4,0.075,-0.255694511970722,0.223233492851196,-0.720301024059105,0.0303674862378694,0.10643062418767,0.191570247074076,7
450,0.4,0.075,-0.747104063418284,0.196084104343723,-1.13712758091871,-0.497557786160711,-0.425223926191717,-0.35387486474282,7
550,0.4,0.075,-0.154650267277242,0.177228822515492,-0.499809237565891,0.0763793945083197,0.134357683223445,0.180186462417843,7
650,0.4,0.075,-0.00643411744935581,0.162715131085653,-0.325941077940615,0.202966023980645,0.263230049879587,0.307162664211756,7
750,0.4,0.075,-0.18130146839783,0.150398308311573,-0.472685810431177,0.0142827434560864,0.0652732663419465,0.109958425381317,7
350,0.4,0.1,-0.382459709532148,0.221063861300713,-0.811215083705846,-0.100274277630323,-0.0141169057037435,0.0455820805635464,7
450,0.4,0.1,-0.634002656434831,0.195371930077623,-1.02706019970785,-0.385469278278295,-0.31670005881561,-0.258919110497316,7
550,0.4,0.1,0.269054712975059,0.181437305169608,-0.086917590028949,0.493734009195426,0.564990228610544,0.626713262495232,7
650,0.4,0.1,-0.384548782186475,0.166361651165671,-0.718821115888086,-0.173899837629945,-0.117608274776678,-0.0635354256306697,7
750,0.4,0.1,-0.53251875855405,0.155188799354784,-0.833819244197659,-0.332148822083353,-0.27536458773344,-0.230863453822344,7
350,0.4,0.125,-0.437082100768769,0.228954897872841,-0.884671877999478,-0.141060577237102,-0.0656518598742553,0.00833011980605927,7
450,0.4,0.125,-0.735498197194885,0.205788715078701,-1.13381912739747,-0.474021160430178,-0.406040058109827,-0.330328112885131,7
550,0.4,0.125,-0.615513758044892,0.187641253765803,-0.982047012418161,-0.374116205833897,-0.302910068118703,-0.24739472511804,7
650,0.4,0.125,-0.678702943894915,0.173589448912692,-1.02920838790785,-0.457805911295292,-0.39491166043449,-0.342794322081293,7
750,0.4,0.125,-0.467584253694739,0.156888724192836,-0.784359508730359,-0.26411786656607,-0.217228695155062,-0.171757568972295,7
350,0.4,0.15,-0.342401940212038,0.225629523581357,-0.783271333510356,-0.0525156720654641,0.0376480054839529,0.107671670822614,7
450,0.4,0.15,-0.203921895020714,0.203644444086901,-0.602017260680097,0.054832483488179,0.126084494851899,0.193499034203314,7
550,0.4,0.15,-0.570348753897526,0.180818854385835,-0.920970266076318,-0.336686594877762,-0.273957538097038,-0.22164561186476,7
650,0.4,0.15,-0.595316909579478,0.171294663138881,-0.933525741828261,-0.377099188752384,-0.309322248247209,-0.261946606572909,7
750,0.4,0.15,-0.633639117999284,0.148454000186579,-0.921748762468418,-0.443731965028859,-0.390761516195223,-0.343453604991574,7
350,0.4,0.075,-0.570972615318959,0.225291949987075,-1.01392493185864,-0.283574029711349,-0.194551505080399,-0.12817934057211,8
450,0.4,0.075,-0.145682155356322,0.190385078669851,-0.523837034935411,0.0977889354099904,0.166779113653892,0.220489267182882,8
550,0.4,0.075,-0.355358951480129,0.180887674535884,-0.711158897091287,-0.11947278464207,-0.0573667115909405,0.00692338136493292,8
650,0.4,0.075,-0.363812010402928,0.169188598212229,-0.701101792436171,-0.144956959648636,-0.0892239306467901,-0.0426323408504906,8
750,0.4,0.075,-0.128677093897807,0.147400815149591,-0.418776996745146,0.0603126513269496,0.108924971404858,0.159071545483102,8
350,0.4,0.1,-0.4193451544937,0.224062929793593,-0.868626426162699,-0.137380297188373,-0.056703827348669,0.0137499588252517,8
450,0.4,0.1,-0.374237904824184,0.204830839201282,-0.761917402689872,-0.111311163101779,-0.0310154912074649,0.0390844082445978,8
550,0.4,0.1,-0.188075878673106,0.177758651158351,-0.529858901191375,0.0425930630784755,0.104557837607436,0.170390105112175,8
650,0.4,0.1,-0.081223058379292,0.166919166431223,-0.406787655933459,0.130265010871501,0.196086217464914,0.25656419998927,8
750,0.4,0.1,-0.635677334516428,0.157273469609445,-0.945349810887093,-0.439330003388553,-0.378510941039835,-0.324112342788588,8
350,0.4,0.125,-0.314317852692904,0.227685154310267,-0.764189746704609,-0.0181578286096143,0.0576355050349498,0.129055517338623,8
450,0.4,0.125,-0.605180247174759,0.203664923417582,-1.01790959590499,-0.347436601284122,-0.282801966417767,-0.213844400804488,8
550,0.4,0.125,-0.342628165594276,0.177981653332236,-0.693414412045569,-0.116134464008428,-0.0528814383256887,0.00489271820414136,8
650,0.4,0.125,-0.836197168081558,0.170847241386089,-1.16735834961516,-0.614897151074429,-0.555249828987211,-0.501896159546251,8
750,0.4,0.125,-0.561614223552089,0.154531479493307,-0.864918240506328,-0.367503982213041,-0.307223933887635,-0.25774414326612,8
350,0.4,0.15,-0.593085509219975,0.232491077830582,-1.06290478291337,-0.294095315990163,-0.213496281625109,-0.145712014791676,8
450,0.4,0.15,-1.24774003127775,0.216195250333753,-1.67493697432105,-0.971594069764674,-0.894661550681783,-0.820205267641706,8
550,0.4,0.15,-0.511478092458869,0.182382664055714,-0.883769506356716,-0.279635969559198,-0.22172344735344,-0.169240157966947,8
650,0.4,0.15,-0.774122301387089,0.170839363215342,-1.1004845541059,-0.552402577105593,-0.481480712055611,-0.426666106367992,8
750,0.4,0.15,-0.600214570430897,0.156974506262983,-0.902811488009088,-0.399888627315698,-0.348250528098832,-0.301730962107791,8
350,0.4,0.075,-0.450348638725478,0.229872643777024,-0.894079530742596,-0.15748973717777,-0.0713897326237867,0.00667107104895141,9
450,0.4,0.075,-0.312805830203311,0.19498549891793,-0.698986755029839,-0.064416053977619,0.00913093028399914,0.0757945434481261,9
550,0.4,0.075,-0.431184583759139,0.182300584966909,-0.787111543261756,-0.196684404697542,-0.129972183119866,-0.0774289024651127,9
650,0.4,0.075,-0.540618388221108,0.168237932187214,-0.872175004740916,-0.319875151803421,-0.263281497988302,-0.212676709154305,9
750,0.4,0.075,-0.162950589350786,0.149827639148064,-0.451859645591582,0.0311587620453179,0.0841427072435169,0.136203282525701,9
350,0.4,0.1,-0.888938599992457,0.232739241651397,-1.34774415665796,-0.590948611829077,-0.49992828822368,-0.429188258036959,9
450,0.4,0.1,-0.400701223586158,0.198998743626466,-0.803651508969645,-0.146169140019539,-0.0740511338022065,-0.0130739761664079,9
550,0.4,0.1,-0.514541259377757,0.181384696536183,-0.872413162903834,-0.287880652668753,-0.221456899706145,-0.167727241323616,9
650,0.4,0.1,-0.7881454332932,0.168280368304532,-1.11879424741178,-0.570612557953643,-0.510498793392346,-0.463025395909159,9
750,0.4,0.1,-0.62257625059545,0.15527288497312,-0.928185912453268,-0.426716165828369,-0.369952960445497,-0.314657570509348,9
350,0.4,0.125,-0.645665868916626,0.235011752460887,-1.1211945241602,-0.344807438046532,-0.258771096660811,-0.181956484374951,9
450,0.4,0.125,-0.347856925285164,0.207470033896375,-0.751711883455515,-0.0768521592782136,-0.00390306961006267,0.0526147054466227,9
550,0.4,0.125,-0.376018245364712,0.183406926484652,-0.732553109713312,-0.141964837606877,-0.0772372579162971,-0.0175089349013543,9
650,0.4,0.125,-0.980750655183319,0.173541675716121,-1.33349226819267,-0.759458264694805,-0.698495036801799,-0.647237275578101,9
750,0.4,0.125,-0.580161602152224,0.160089763662394,-0.893130334845481,-0.377569521926343,-0.321279643584612,-0.270123938229983,9
350,0.4,0.15,-0.644307423451163,0.236025040652172,-1.10839081928919,-0.341861933012101,-0.256653818289333,-0.186095556460789,9
450,0.4,0.15,-0.784040380101606,0.201560443346298,-1.18601490559517,-0.521111306060187,-0.457653272706388,-0.408855651030278,9
550,0.4,0.15,-0.465020900376961,0.191290977296163,-0.830992225218689,-0.221398424074634,-0.145255672925567,-0.087306098265389,9
650,0.4,0.15,-0.445272414335085,0.170647863469051,-0.781828915477719,-0.22681866464573,-0.16441454256518,-0.127869529334624,9
750,0.4,0.15,-0.668553466825968,0.162087928073169,-0.990850338428135,-0.46343372335739,-0.400914081774606,-0.343513949099476,9
350,0.4,0.075,-0.128461833984902,0.223145907942321,-0.559072953355672,0.163332446237254,0.248972751051858,0.315441700223767,10
450,0.4,0.075,-0.0370316763884748,0.198290671168458,-0.440274772118829,0.218774614418317,0.286382306671838,0.347260625787451,10
550,0.4,0.075,-0.250099620847511,0.180503602818731,-0.599404054886196,-0.023831910945305,0.0434637530301358,0.0998379430335,10
650,0.4,0.075,-0.170724647732116,0.170275907700037,-0.507959776258046,0.0443917714809773,0.104214746958914,0.162968448656995,10
750,0.4,0.075,-0.384602351235633,0.151148536630039,-0.67848509609133,-0.191279036623276,-0.137420772710937,-0.0911486309822494,10
350,0.4,0.1,-0.661479369594371,0.231262714995521,-1.11493002642681,-0.364522367372035,-0.280039425209149,-0.215333114442471,10
450,0.4,0.1,-0.109998020334501,0.196646932889917,-0.491827157027144,0.145362875850064,0.21834502032729,0.283066497321551,10
550,0.4,0.1,-0.206940909159573,0.183600423170908,-0.563941622586433,0.0276158217999893,0.0961794736091053,0.14629774235945,10
650,0.4,0.1,-0.530995924158677,0.163448175160603,-0.853916834103619,-0.323636341367472,-0.264342086767652,-0.211246861675174,10
750,0.4,0.1,-0.403173338998506,0.154182103157072,-0.707644052963081,-0.20620518615635,-0.150868368114779,-0.105190544364812,10
350,0.4,0.125,-0.533871096912828,0.2343165344041,-0.999553220628785,-0.237353737765344,-0.147425270171522,-0.083297748687129,10
450,0.4,0.125,-0.542684383558103,0.199809837316361,-0.929615636075591,-0.288672162954537,-0.217645298370597,-0.149484829942684,10
550,0.4,0.125,-0.681366113211129,0.179731055816572,-1.02335165329425,-0.450525597617091,-0.384155450824779,-0.321009859962936,10
650,0.4,0.125,-0.620155650626045,0.161410088452834,-0.935097896118746,-0.41501648940814,-0.358125761639305,-0.30288002839734,10
750,0.4,0.125,-0.741996710070975,0.161527152226622,-1.07181577860202,-0.539403723424278,-0.479311276851635,-0.422217009070184,10
350,0.4,0.15,-0.854196729088402,0.245919884163658,-1.34808402636735,-0.543414807001302,-0.45438675264158,-0.381991333544305,10
450,0.4,0.15,-0.691573633242896,0.197514646715957,-1.09220520165148,-0.438813008793565,-0.365804193080954,-0.302388294839956,10
550,0.4,0.15,-0.777101876173425,0.182323683212044,-1.14086560296514,-0.542505681927801,-0.47581522292869,-0.428834141130401,10
