"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
450,0.4,0.075,-0.255503565858472,0.194791972192042,-0.646268932643129,-0.00214739440481088,0.0645902897076599,0.11764389899637,5
550,0.4,0.075,-0.489916478936241,0.17583288563179,-0.833740829911751,-0.262903041891324,-0.204028035429323,-0.146516893688151,5
650,0.4,0.075,-0.386732656235307,0.165292425049121,-0.698962648580996,-0.174347384646072,-0.115720727905604,-0.0682819550219153,5
750,0.4,0.075,-0.240851666568965,0.147586547584509,-0.532471930225729,-0.0556508676405482,-0.00194252780395783,0.0543765422629562,5
350,0.4,0.1,-0.730444494093638,0.230240883968431,-1.18508735265984,-0.43915473681608,-0.358906983084344,-0.282998374031272,5
450,0.4,0.1,-0.209552413914829,0.196952113347114,-0.598690050528659,0.0439258694097009,0.119585516170913,0.1869408384542,5
550,0.4,0.1,-0.518026517515692,0.179886919315231,-0.872583049730346,-0.283987932768682,-0.223439718894087,-0.170008781117575,5
650,0.4,0.1,-0.589419024085215,0.168076720448005,-0.916546344068737,-0.373230610554187,-0.32084030885335,-0.265918587010251,5
750,0.4,0.1,-0.603734022205515,0.15075666255038,-0.89454186042159,-0.410131099020355,-0.354212076174325,-0.307009729416482,5
350,0.4,0.125,-0.718615850351691,0.238358452301199,-1.19076111907816,-0.409596196472238,-0.329301866712196,-0.265715737035641,5
450,0.4,0.125,-0.479915600103354,0.197024333421008,-0.86064290421452,-0.22859573758987,-0.155908330371923,-0.0941331300071171,5
550,0.4,0.125,-0.201837485426172,0.183522045301606,-0.554729240528509,0.0337373539194161,0.0923194021361882,0.157964436061454,5
650,0.4,0.125,-0.670361465103778,0.173533126253999,-1.01425547391044,-0.451261407733605,-0.389885646478361,-0.340791928386871,5
750,0.4,0.125,-0.758813342897357,0.157096150328867,-1.06020473269577,-0.55137192707399,-0.49664453869905,-0.453472301317382,5
350,0.4,0.15,-0.829673831437099,0.230049875340221,-1.28328727343091,-0.534505381542735,-0.44501797212179,-0.377914935791049,5
450,0.4,0.15,-0.642642191514875,0.194935995693278,-1.03278823631515,-0.390394946555165,-0.322893442364846,-0.275064850026996,5
550,0.4,0.15,-0.735633693341008,0.18905500132452,-1.10825904269356,-0.491917569425131,-0.421134168198676,-0.366951144863635,5
650,0.4,0.15,-0.812130855207808,0.172821290567958,-1.14270090973449,-0.590089173575927,-0.525096690465859,-0.467184522099898,5
750,0.4,0.15,-0.845703654534818,0.160994410433775,-1.15515859727338,-0.640923654240703,-0.583289644115619,-0.536563205684723,5
350,0.4,0.075,-0.550607838049999,0.228454696091685,-0.99727652912206,-0.259410025494856,-0.170538100148527,-0.100046764971939,6
450,0.4,0.075,-0.492944559551758,0.193665021341926,-0.87387036715325,-0.252858605255592,-0.175087449817762,-0.12096008757779,6
550,0.4,0.075,-0.319888068607471,0.178488787245295,-0.684062468089291,-0.0981583211385952,-0.0339319827745272,0.0256621025380654,6
650,0.4,0.075,-0.316687246483919,0.163551474351943,-0.635760114121481,-0.105703564308076,-0.0521755088505536,-0.00333290727498451,6
750,0.4,0.075,-0.359825028598794,0.154035298554063,-0.66034254684361,-0.162321292155307,-0.105205207228195,-0.0596739991816194,6
350,0.4,0.1,-0.50704057020406,0.230389706719707,-0.970541076984591,-0.214570907441942,-0.136953898303517,-0.0591301773632415,6
450,0.4,0.1,-0.691869847393779,0.202289256479262,-1.09335465455891,-0.437810471282526,-0.370675124495549,-0.309760577339131,6
550,0.4,0.1,-0.355148411662241,0.172407740526742,-0.682612196964188,-0.132822974201195,-0.070260091705221,-0.0150468514782916,6
650,0.4,0.1,-0.619079634192326,0.16851563311778,-0.951631590606497,-0.395781081862313,-0.341064288285275,-0.282759544053505,6
