"N","p1","delta","est","s.e.","QL","QU","index"
450,0.2,0.1,-0.62252597091081,0.276478973927446,-1.171020919633,-0.0888273225773962,2
550,0.2,0.1,-0.817392364469952,0.250947675370682,-1.31803521984368,-0.325269573595874,2
650,0.2,0.1,-0.913116498476597,0.227488241711558,-1.35480334082479,-0.475344938512758,2
750,0.2,0.1,-1.09353878468951,0.218270320557116,-1.53602658519678,-0.671759329775124,2
350,0.3,0.1,-0.704331224008166,0.248299580234725,-1.18933939168148,-0.210350049618265,2
450,0.3,0.1,-0.930157629635351,0.226542463483066,-1.38473416587758,-0.485846521686036,2
550,0.3,0.1,-0.335466803559492,0.220405007424985,-0.76809238163259,0.0999825215037478,2
650,0.3,0.1,-0.755085289435459,0.183961027646526,-1.12213577638087,-0.39281708145675,2
750,0.3,0.1,-0.452109039681951,0.175417210115527,-0.80094725227665,-0.109222238319772,2
350,0.4,0.1,-0.189806595769678,0.223445667576522,-0.610142457243406,0.249476088539687,2
450,0.4,0.1,-0.639149559125021,0.203047051489982,-1.04097438380808,-0.24396718964805,2
550,0.4,0.1,-0.230367556427091,0.17857777549854,-0.577860558452825,0.114681062097505,2
650,0.4,0.1,-0.459859283886905,0.169489432189208,-0.795814211366192,-0.127014436154417,2
750,0.4,0.1,-0.47526838879785,0.151154095828282,-0.773656221014655,-0.193155936917464,2
350,0.5,0.1,-0.794848320399955,0.221071726220528,-1.22945070732152,-0.37224053884101,2
450,0.5,0.1,-0.368896087262467,0.19073555459118,-0.741381120161024,0.00634994315891994,2
550,0.5,0.1,-0.260279965328457,0.172624588275985,-0.603887376525042,0.0798930259233004,2
650,0.5,0.1,-0.423605152476319,0.159328549133661,-0.730105209640281,-0.106585297115603,2
750,0.5,0.1,-0.453881471823717,0.146904913928505,-0.747611360452702,-0.164342083306678,2
350,0.1,0.125,0.412450790241181,10.1781526997463,-19.8971671214134,20.5139043104459,2
450,0.1,0.125,-0.10025631447012,10.1433478371896,-20.1230024150402,19.6433791095978,2
550,0.1,0.125,0.0302154752242014,9.99270488234847,-19.4995927703532,19.8928158810011,2
650,0.1,0.125,0.260799351167173,9.82936555452608,-19.0547125424385,19.4924447029203,2
750,0.1,0.125,-0.0895399892003733,9.60779271128066,-18.861729436712,19.2871208161987,2
350,0.2,0.125,-1.18519954091592,0.394108709077613,-2.00572167129588,-0.455260702083986,2
450,0.2,0.125,-1.13364506300595,0.295203013711741,-1.73303780791831,-0.566848040088799,2
550,0.2,0.125,-1.37804273178036,0.274027403092865,-1.9267173457363,-0.849855386572183,2
650,0.2,0.125,-1.24769442426421,0.245964878998941,-1.76333801398114,-0.782960957008905,2
750,0.2,0.125,-1.00474824290349,0.2304146950283,-1.45744968747928,-0.563370539183954,2
350,0.3,0.125,-0.672730772757243,0.263907383548791,-1.17926680502611,-0.171420629556393,2
450,0.3,0.125,-0.709140709028434,0.217894899012439,-1.15046500687566,-0.297970972043377,2
550,0.3,0.125,-0.872960868048183,0.215692600989793,-1.29110175951153,-0.452068385331682,2
650,0.3,0.125,-0.508205622784744,0.191113524776897,-0.879719127415322,-0.142798646192337,2
750,0.3,0.125,-0.719748919146185,0.174691263790733,-1.07881819460052,-0.392055448367881,2
350,0.4,0.125,-0.400033608200181,0.233207319959809,-0.864462460640117,0.0643019893448491,2
450,0.4,0.125,-0.647155355757674,0.203015236467608,-1.04029798321851,-0.258244327622988,2
550,0.4,0.125,-0.680416505920099,0.181083194263439,-1.03266699361089,-0.316133349562524,2
650,0.4,0.125,-0.431761034011966,0.163462242413462,-0.750066877425382,-0.124216863639943,2
750,0.4,0.125,-0.446542845751483,0.15180406197728,-0.73743855112635,-0.154897702298394,2
350,0.5,0.125,-0.14628177995324,0.214611068205943,-0.564648798593384,0.269790179951273,2
450,0.5,0.125,-0.381322421147644,0.193846932529374,-0.765072993098757,-0.00946058737072102,2
550,0.5,0.125,-0.382110747090166,0.173065362590038,-0.716752098375398,-0.0461487652622663,2
650,0.5,0.125,-0.381003157354472,0.162627674070565,-0.695134657963898,-0.0703178214952054,2
750,0.5,0.125,-0.293390215131892,0.147548820883475,-0.578082055548829,0.00168918568916854,2
350,0.1,0.15,0.0795934580297137,10.112591490792,-20.2934322502253,19.8328583914876,2
450,0.1,0.15,0.275747989490588,9.61948826370113,-18.5691341685871,18.8118594785726,2
550,0.1,0.15,-0.251755125696278,9.99829907961622,-19.614928095439,18.9991541216551,2
